Commande produits finis pour livraison SEDIS;;;;;;;;;;;;;;;;;
Commande 2019-36;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
N° DE SEMAINE : S19;;;;;;;;;;;;;;;;;
Reçu le: ;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
N°CDE;CODE EAN;CODE BOX;MODELE;QTE;LIBELLE;COLORIS;TYPE;LARG;LONG;Commentaires;Pays;PP/NPP;CONTRAT;VIG;Laize;EMP ;Cons 
1;3 609 251 714 406;23 609 251 714 400;VEXIN;25;Drap housse Vexin;EMERAUDE;DH;90;190;Bonnet 35 ;France ;PP PAKISTAN;CONTRAT 2041;Sans Made in;280;1,61;40,25
2;3 609 251 714 420;23 609 251 714 424;VEXIN;45;Drap housse Vexin;EMERAUDE;DH;140;190;Bonnet 35 ;France ;PP PAKISTAN;CONTRAT 2041;Sans Made in;280;2,11;94,95
3;3 609 251 714 444;23 609 251 714 448;VEXIN;10;Drap housse Vexin;EMERAUDE;DH;90;200;Bonnet 35 ;France ;PP PAKISTAN;CONTRAT 2041;Sans Made in;280;1,61;16,1
4;3 609 251 714 475;23 609 251 714 479;VEXIN;40;Drap housse Vexin;EMERAUDE;DH;160;200;Bonnet 35 ;France ;PP PAKISTAN;CONTRAT 2041;Sans Made in;280;2,31;92,4
5;3 609 251 714 482;23 609 251 714 486;VEXIN;20;Drap housse Vexin;EMERAUDE;DH;180;200;Bonnet 35 ;France ;PP PAKISTAN;CONTRAT 2041;Sans Made in;280;2,51;50,2
6;3 609 251 717 070;23 609 251 717 074;VEXIN;25;Traversin Vexin;EMERAUDE;TR;43;210;;France ;PP PAKISTAN;CONTRAT 2041;Sans Made in;280;0,74;18,5
7;3 609 251 717 612;23 609 251 717 616;VEXIN;70;Taie Vexin;EMERAUDE;TU;65;65;;France ;PP PAKISTAN;CONTRAT 2041;Sans Made in;280;0,61;42,7
8;3 609 251 717 629;23 609 251 717 623;VEXIN;60;Taie Vexin;EMERAUDE;TU;50;75;;France ;PP PAKISTAN;CONTRAT 2041;Sans Made in;280;0,51;30,6
9;3 609 251 713 881;23 609 251 713 885;VEXIN;25;Drap housse Vexin;FRAMBOISE;DH;90;190;Bonnet 35 ;France ;PP PAKISTAN;CONTRAT 2041;Sans Made in;280;1,61;40,25
10;3 609 251 713 904;23 609 251 713 908;VEXIN;45;Drap housse Vexin;FRAMBOISE;DH;140;190;Bonnet 35 ;France ;PP PAKISTAN;CONTRAT 2041;Sans Made in;280;2,11;94,95
11;3 609 251 713 928;23 609 251 713 922;VEXIN;10;Drap housse Vexin;FRAMBOISE;DH;90;200;Bonnet 35 ;France ;PP PAKISTAN;CONTRAT 2041;Sans Made in;280;1,61;16,1
12;3 609 251 713 959;23 609 251 713 953;VEXIN;40;Drap housse Vexin;FRAMBOISE;DH;160;200;Bonnet 35 ;France ;PP PAKISTAN;CONTRAT 2041;Sans Made in;280;2,31;92,4
13;3 609 251 713 966;23 609 251 713 960;VEXIN;20;Drap housse Vexin;FRAMBOISE;DH;180;200;Bonnet 35 ;France ;PP PAKISTAN;CONTRAT 2041;Sans Made in;280;2,51;50,2
14;3 609 251 717 018;23 609 251 717 012;VEXIN;25;Traversin Vexin;FRAMBOISE;TR;43;210;;France ;PP PAKISTAN;CONTRAT 2041;Sans Made in;280;0,74;18,5
15;3 609 251 717 292;23 609 251 717 296;VEXIN;70;Taie Vexin;FRAMBOISE;TU;65;65;;France ;PP PAKISTAN;CONTRAT 2041;Sans Made in;280;0,61;42,7
16;3 609 251 717 308;23 609 251 717 302;VEXIN;60;Taie Vexin;FRAMBOISE;TU;50;75;;France ;PP PAKISTAN;CONTRAT 2041;Sans Made in;280;0,51;30,6
17;3 609 251 714 284;23 609 251 714 288;VEXIN;20;Drap housse Vexin;OPALINE;DH;80;200;Bonnet 35 ;France ;PP PAKISTAN;CONTRAT 2041;Sans Made in;280;1,51;30,2
18;3 609 251 714 291;23 609 251 714 295;VEXIN;10;Drap housse Vexin;OPALINE;DH;90;200;Bonnet 35 ;France ;PP PAKISTAN;CONTRAT 2041;Sans Made in;280;1,61;16,1
19;3 609 251 714 260;23 609 251 714 264;VEXIN;25;Drap housse Vexin;OPALINE;DH;120;190;Bonnet 35 ;France ;PP PAKISTAN;CONTRAT 2041;Sans Made in;280;1,91;47,75
20;3 609 251 714 277;23 609 251 714 271;VEXIN;45;Drap housse Vexin;OPALINE;DH;140;190;Bonnet 35 ;France ;PP PAKISTAN;CONTRAT 2041;Sans Made in;280;2,11;94,95
21;3 609 251 714 314;23 609 251 714 318;VEXIN;10;Drap housse Vexin;OPALINE;DH;140;200;Bonnet 35 ;France ;PP PAKISTAN;CONTRAT 2041;Sans Made in;280;2,11;21,1
22;3 609 251 714 338;23 609 251 714 332;VEXIN;20;Drap housse Vexin;OPALINE;DH;180;200;Bonnet 35 ;France ;PP PAKISTAN;CONTRAT 2041;Sans Made in;280;2,51;50,2
23;3 609 251 716 110;23 609 251 716 114;VEXIN;20;Drap housse duo Vexin;OPALINE;DU;80;200;Bonnet 35 ;France ;PP PAKISTAN;CONTRAT 2041;Sans Made in;280;3,02;60,4
24;3 609 251 715 366;23 609 251 715 360;VEXIN;10;Drap Vexin;OPALINE;DP;180;290;;France ;PP PAKISTAN;CONTRAT 2041;Sans Made in;280;3,06;30,6
25;3 609 251 715 373;23 609 251 715 377;VEXIN;20;Drap Vexin;OPALINE;DP;240;310;;France ;PP PAKISTAN;CONTRAT 2041;Sans Made in;280;3,25;65
26;3 609 251 715 380;23 609 251 715 384;VEXIN;20;Drap Vexin;OPALINE;DP;270;310;;France ;PP PAKISTAN;CONTRAT 2041;Sans Made in;280;3,25;65
27;3 609 251 716 691;23 609 251 716 695;VEXIN;10;Housse couette Vexin;OPALINE;HC;140;200;;France ;PP PAKISTAN;CONTRAT 2041;Sans Made in;280;2,86;28,6
28;3 609 251 716 714;23 609 251 716 718;VEXIN;10;Housse couette Vexin;OPALINE;HC;240;220;;France ;PP PAKISTAN;CONTRAT 2041;Sans Made in;280;4,86;48,6
29;3 609 251 716 721;23 609 251 716 725;VEXIN;10;Housse couette Vexin;OPALINE;HC;260;240;;France ;PP PAKISTAN;CONTRAT 2041;Sans Made in;280;5,26;52,6
30;3 609 251 717 575;23 609 251 717 579;VEXIN;60;Taie Vexin;OPALINE;TU;50;75;;France ;PP PAKISTAN;CONTRAT 2041;Sans Made in;280;0,51;30,6
31;3 609 251 717 568;23 609 251 717 562;VEXIN;70;Taie Vexin;OPALINE;TU;65;65;;France ;PP PAKISTAN;CONTRAT 2041;Sans Made in;280;0,61;42,7
32;3 609 251 714 253;23 609 251 714 257;VEXIN;25;Drap housse Vexin;OPALINE;DH;90;190;Bonnet 35 ;France ;PP PAKISTAN;CONTRAT 2041;Sans Made in;280;1,61;40,25
33;3 609 251 714 321;23 609 251 714 325;VEXIN;40;Drap housse Vexin;OPALINE;DH;160;200;Bonnet 35 ;France ;PP PAKISTAN;CONTRAT 2041;Sans Made in;280;2,31;92,4
34;3 609 251 714 345;23 609 251 714 349;VEXIN;10;Drap housse Vexin;OPALINE;DH;200;200;Bonnet 35 ;France ;PP PAKISTAN;CONTRAT 2041;Sans Made in;280;2,71;27,1
35;3 609 251 716 127;23 609 251 716 121;VEXIN;10;Drap housse duo Vexin;OPALINE;DU;90;200;Bonnet 35 ;France ;PP PAKISTAN;CONTRAT 2041;Sans Made in;280;3,22;32,2
36;3 609 251 716 707;23 609 251 716 701;VEXIN;10;Housse couette Vexin;OPALINE;HC;200;200;;France ;PP PAKISTAN;CONTRAT 2041;Sans Made in;280;4,06;40,6
37;3 609 251 717 049;23 609 251 717 043;VEXIN;25;Traversin Vexin;OPALINE;TR;43;210;;France ;PP PAKISTAN;CONTRAT 2041;Sans Made in;280;0,74;18,5
38;3 609 251 717 032;23 609 251 717 036;VEXIN;15;Traversin Vexin;OPALINE;TR;43;240;;France ;PP PAKISTAN;CONTRAT 2041;Sans Made in;280;0,85;12,75
39;3 609 251 716 875;23 609 251 716 879;VEXIN;10;Housse couette Vexin;ORAGE;HC;140;200;;France ;PP PAKISTAN;CONTRAT 2041;Sans Made in;280;2,86;28,6
40;3 609 251 716 882;23 609 251 716 886;VEXIN;10;Housse couette Vexin;ORAGE;HC;200;200;;France ;PP PAKISTAN;CONTRAT 2041;Sans Made in;280;4,06;40,6
41;3 609 251 714 710;23 609 251 714 714;VEXIN;25;Drap housse Vexin;ORAGE;DH;90;190;Bonnet 35 ;France ;PP PAKISTAN;CONTRAT 2041;Sans Made in;280;1,61;40,25
